productId,sku,name,categoryId,categoryName,isActive,quantity,reorderLevel,stockStatus
13436,p6_06_fixture_hostile_sku,"'=1+1, ""special"" café",,,True,0.000,0.000,OutOfStock
92,HDW-1002,Adjustable Wrench 10in,1,Hand Tools,True,2.000,0.000,Normal
94,HDW-1004,Angle Grinder 4in,2,Power Tools,True,0.000,0.000,OutOfStock
91,HDW-1001,Claw Hammer 16oz,1,Hand Tools,True,0.000,0.000,OutOfStock
93,HDW-1003,Cordless Drill 18V,2,Power Tools,True,0.000,0.000,OutOfStock
4,DEMO-HAMMER-01,Demo product (P1-15 client spike),,,True,245.000,0.000,Normal
96,HDW-1006,Hex Bolts M8x40 (50pc box),3,Fasteners,True,0.000,0.000,OutOfStock
97,HDW-1007,Interior Latex Paint White 4L,4,Paint & Finishing,True,0.000,0.000,OutOfStock
2,p1_11_fixture_sku,P1-11 Fixture Product,,,True,96.000,0.000,Normal
3,p1_13_fixture_sku,P1-13 Fixture Product,,,True,0.000,0.000,OutOfStock
5,p2_03_fixture_sku,P2-03 Fixture Product,,,True,9.000,0.000,Normal
22,p2_07_71f3e5282272,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
32,p2_07_243569e69bd8,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
42,p2_07_c8c74d07ef63,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
57,p2_07_140a7e259597,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
67,p2_07_4051ac4495a7,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
78,p2_07_654caa0dec88,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
88,p2_07_9ed8539259d7,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
106,p2_07_104ad69473d4,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
119,p2_07_9e6e4f89262a,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
130,p2_07_3863615ac6ed,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
141,p2_07_8882929f06cf,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
152,p2_07_cdd73e8e03f2,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
163,p2_07_0aa59a3bee55,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
174,p2_07_7efedef796c1,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
227,p2_07_0f3ff585a9a8,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
266,p2_07_cf6e4521c278,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
293,p2_07_abaef235cb71,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
318,p2_07_f9e2889bbe6f,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
343,p2_07_e0b6f87db91f,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
382,p2_07_36c17aa04c81,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
407,p2_07_d69035dc8d19,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
432,p2_07_e912190aca99,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
458,p2_07_ba4f8e86951a,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
484,p2_07_992d9e6fd8b5,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
510,p2_07_c02ec4369855,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
535,p2_07_ab4d482b3d30,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
560,p2_07_a8cb18e89799,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
585,p2_07_f95fe8afcffe,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
610,p2_07_69dc581059f4,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
635,p2_07_b6699ece9e74,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
660,p2_07_1469808af0a2,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
685,p2_07_97bc30107bea,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
710,p2_07_89acfe881db5,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
735,p2_07_2c16ccb93ef4,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
760,p2_07_d3875ce7da02,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
785,p2_07_44d9451694a0,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
811,p2_07_fe0ae11986c4,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
836,p2_07_49c33507d6b1,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
868,p2_07_ca9e5c15dfd8,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
911,p2_07_a37c35823132,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
972,p2_07_8e0094f7b22f,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
1051,p2_07_faea574065d4,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
1112,p2_07_5e1c867f47f0,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
1173,p2_07_a783d0b9d33c,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
1288,p2_07_0a6b70692805,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
1423,p2_07_7e1360b43bd6,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
1528,p2_07_29d6606d81b4,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
1633,p2_07_53cb6ef198d0,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
1763,p2_07_717df64d074c,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
1893,p2_07_fba160f7f23e,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
2023,p2_07_201416ccbe90,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
2205,p2_07_39249d28ebef,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
2346,p2_07_ba33a595a5b6,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
2487,p2_07_ea923dcaf858,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
2628,p2_07_fe3f8ae76d27,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
2769,p2_07_8540fe2afc48,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
2910,p2_07_89e0613ed2da,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
3051,p2_07_31679ee31565,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
3224,p2_07_bdc4acf71589,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
3372,p2_07_13e1c6921cb7,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
3527,p2_07_9bae6a867a19,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
3675,p2_07_4d9a2fe02a2d,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
3823,p2_07_12425a33e8d6,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
4027,p2_07_20b4f4ef2d71,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
4203,p2_07_8cda6a2eb1e8,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
4447,p2_07_da9c0f9667b3,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
4643,p2_07_67f981af66ba,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
4839,p2_07_bef6bfc48703,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
5043,p2_07_e3c7998b1fe1,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
5182,p2_07_d3cd943f4975,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
5200,p2_07_e5f1d55d8518,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
5218,p2_07_d4388cb9fd08,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
5240,p2_07_90b2bbfd819d,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
5319,p2_07_fed71e109529,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
5550,p2_07_4285706eb80f,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
5819,p2_07_99a4ae6b0db7,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
6073,p2_07_19b9638ea864,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
6313,p2_07_b09238611fd8,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
6560,p2_07_9ce32353ff28,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
6803,p2_07_6832bbe00b0b,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
7111,p2_07_36682b78f33c,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
7382,p2_07_2899a69fb97a,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
7638,p2_07_f4600959c979,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
7894,p2_07_9838af481415,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
8150,p2_07_4336dee4982b,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
8406,p2_07_da157aa7d966,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
8662,p2_07_6db3941e1e1b,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
8918,p2_07_089b140b3fa8,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
9174,p2_07_30edfd302fb9,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
9447,p2_07_862f734eb474,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
9703,p2_07_15971109f2f4,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
9959,p2_07_52f3d18ca050,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
10225,p2_07_6f58e63e631f,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
10498,p2_07_6c097d0411c1,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
10765,p2_07_f855e1475917,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
11043,p2_07_a6eaf763618d,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
11310,p2_07_20dc47614ddb,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
11577,p2_07_83fd186f6890,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
11847,p2_07_3e1c3628d8ca,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
12117,p2_07_06b2a10be43a,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
12397,p2_07_2ffb6f9826bf,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
12677,p2_07_12983f2c87d5,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
12957,p2_07_b2e61d769f50,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
13237,p2_07_dd2f9302a26d,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
13518,p2_07_ebb055679c0c,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
13798,p2_07_12404b1a8067,P2-07 Audited Create,,,True,0.000,0.000,OutOfStock
23,p2_07_6464ff04ebb2,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
33,p2_07_6dec4dd409a9,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
43,p2_07_4a3da410632c,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
58,p2_07_cf05959e8b06,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
68,p2_07_f3553fa7a4d1,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
79,p2_07_56dc6ca2ce6b,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
89,p2_07_62c45942f0d0,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
107,p2_07_fde3bed868b9,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
120,p2_07_d391544d836f,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
131,p2_07_7e1b6fa063af,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
142,p2_07_fc25d63d529b,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
153,p2_07_a7d76c4ce883,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
164,p2_07_cff88148667c,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
175,p2_07_db3abd9f5f23,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
228,p2_07_865ce6f90b78,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
267,p2_07_5b418c2f316b,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
294,p2_07_16972bb2fd3e,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
319,p2_07_e815c8d42e4e,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
344,p2_07_026521927304,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
383,p2_07_1f73b6ac685b,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
408,p2_07_2d2482f5e320,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
433,p2_07_46ee67f9d063,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
459,p2_07_67d8da77b34f,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
485,p2_07_c87bd39ee691,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
511,p2_07_a5c44f7b4816,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
536,p2_07_82a7430591c7,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
561,p2_07_5d943093a9cd,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
586,p2_07_603f6b4fcf80,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
611,p2_07_edbabdd509d0,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
636,p2_07_3f8ca478219e,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
661,p2_07_449adbbbcb39,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
686,p2_07_ddcc4e9284d0,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
711,p2_07_75dd2b3b318a,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
736,p2_07_6406d160a8b4,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
761,p2_07_1d5435bf1f0b,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
786,p2_07_d6b9c49f5fde,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
812,p2_07_6b9961366684,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
837,p2_07_f15a54089069,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
869,p2_07_7293a1294bad,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
912,p2_07_d8dcb5e494f7,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
973,p2_07_9035371a0bd5,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
1052,p2_07_45d5a297fa83,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
1113,p2_07_9876a3c6ae3e,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
1174,p2_07_8c411e5d798b,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
1289,p2_07_436b04c0cd12,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
1424,p2_07_39c74db141d3,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
1529,p2_07_3d4954e54ef9,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
1634,p2_07_0f14dd2ea2d8,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
1764,p2_07_aa1907fd137d,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
1894,p2_07_ff4cb5c8b5e3,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
2024,p2_07_571aa8668035,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
2206,p2_07_b928dd2175ab,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
2347,p2_07_c6c11b7d545b,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
2488,p2_07_da8674b562f0,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
2629,p2_07_ad23b7ad44fe,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
2770,p2_07_2719056f65a0,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
2911,p2_07_e42a30fc44e3,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
3052,p2_07_2be1ffacf5e9,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
3225,p2_07_4f3d3739a5cc,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
3373,p2_07_89838e35c6e1,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
3528,p2_07_28cb71794157,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
3676,p2_07_ff751238889e,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
3824,p2_07_0e27e6d1162d,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
4028,p2_07_1d853bce382c,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
4204,p2_07_e78c58b5d1e3,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
4448,p2_07_53d826304844,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
4644,p2_07_59a47b28c4f6,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
4840,p2_07_be67e34634dd,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
5044,p2_07_fcb9f6bd39c8,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
5183,p2_07_f339af3e59a8,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
5201,p2_07_de35d11840bb,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
5219,p2_07_ad239794ef76,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
5241,p2_07_7273a1bafc0a,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
5320,p2_07_322e7454c5e8,P2-07 Audited Update Renamed,,,True,0.000,0.000,OutOfStock
